id,market_id,selection_id,selection_name,odds,line
,129514585,0QA129514585#1405591429_13L88808Q13Q212130,21-30,2.6,
,129514585,0QA129514585#1405591430_13L88808Q14Q213140,31-40,2.95,
,129514585,0QA129514585#1405591315_13L88808Q12Q211120,11-20,5.5,
,129514585,0QA129514585#1405591452_13L88808Q15Q214150,41-50,7.0,
,129514585,0QA129514585#1405591453_13L88808Q16Q215199,51+,23.0,
,129514585,0QA129514585#1405591314_13L88808Q11Q210110,0-10,29.0,
,129514584,0QA129514584#1405591316_13L88808Q12Q211120,11-20,2.45,
,129514584,0QA129514584#1405591428_13L88808Q13Q212130,21-30,2.95,
,129514584,0QA129514584#1405591313_13L88808Q11Q210110,0-10,4.8,
,129514584,0QA129514584#1405591431_13L88808Q14Q213140,31-40,8.0,
,129514584,0QA129514584#1405591451_13L88808Q15Q214150,41-50,36.0,
